2026-03-29 19:14:04 | INFO     | orders     | Validating inputs for: BUY 0.01 BTCUSDT @ MARKET (Price=None)
2026-03-29 19:14:04 | INFO     | orders     | Validation successful. Kwargs built: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01}
2026-03-29 19:14:05 | INFO     | client     | Initialized python-binance Testnet Client.
2026-03-29 19:14:07 | INFO     | client     | Successfully pinged Binance Futures Testnet API.
2026-03-29 19:14:07 | INFO     | client     | Sending order request payload: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01}
2026-03-29 19:14:07 | ERROR    | client     | Binance API Exception [400]: Timestamp for this request was 1000ms ahead of the server's time.
2026-03-29 19:14:07 | ERROR    | orders     | Order placement lifecycle failed: Binance API Error: Timestamp for this request was 1000ms ahead of the server's time.
2026-03-29 19:16:36 | INFO     | orders     | Validating inputs for: BUY 0.01 BTCUSDT @ MARKET (Price=None)
2026-03-29 19:16:36 | INFO     | orders     | Validation successful. Kwargs built: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01}
2026-03-29 19:16:39 | INFO     | client     | Time offset synced: -26072ms to prevent API rejections.
2026-03-29 19:16:39 | INFO     | client     | Initialized python-binance Testnet Client.
2026-03-29 19:16:39 | INFO     | client     | Successfully pinged Binance Futures Testnet API.
2026-03-29 19:16:39 | INFO     | client     | Sending order request payload: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01}
2026-03-29 19:16:40 | INFO     | client     | Order successful! Response: {'orderId': 13006672890, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJf750ad5391c07abc42b8ec', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.010', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1774791973989}
2026-03-29 19:22:19 | INFO     | orders     | Validating inputs for: BUY 0.01 BTCUSDT @ LIMIT (Price=60000.0)
2026-03-29 19:22:19 | INFO     | orders     | Validation successful. Kwargs built: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': 0.01, 'price': 60000.0, 'timeInForce': 'GTC'}
2026-03-29 19:22:22 | INFO     | client     | Time offset synced: -26193ms to prevent API rejections.
2026-03-29 19:22:22 | INFO     | client     | Initialized python-binance Testnet Client.
2026-03-29 19:22:22 | INFO     | client     | Successfully pinged Binance Futures Testnet API.
2026-03-29 19:22:22 | INFO     | client     | Sending order request payload: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': 0.01, 'price': 60000.0, 'timeInForce': 'GTC'}
